Temps (s),Consigne fleche (deg),Consigne balancier (deg),Consigne godet (deg),Gamma 1 (deg),Gamma 2 (deg),Gamma 3 (deg),Gamma 5 (deg),Vitesse axe fleche (deg/s),Vitesse axe balancier (deg/s),Vitesse axe godet (deg/s),Vitesse axe triangle (deg/s),Consigne X (mm),Consigne Y (mm),Consigne gamma (deg),X (mm),Y (mm),Gamma (deg),Consigne vitesse verin 1 (mm/s),Consigne vitesse verin 2 (mm/s),Consigne vitesse verin 3 (mm/s),Vitesse verin 1 (mm/s),Vitesse verin 2 (mm/s),Vitesse verin 3 (mm/s),Longueur verin 1 (mm),Longueur verin 2 (mm),Longueur verin 3 (mm),Force verin 1 (N),Force verin 2 (N),Force verin 3 (N),Courant verin 1 (A),Courant verin 2 (A),Courant verin 3 (A),Tension verin 1 (V),Tension verin 2 (V),Tension verin 3 (V),Puissance verin 1 (W),Puissance verin 2 (W),Puissance verin 3 (W),Energie verin 1 (J),Energie verin 2 (J),Energie verin 3 (J),Puissance mecanique verin 1 (W),Puissance mecanique verin 2 (W),Puissance mecanique verin 3 (W),Angle moteur verin 1 (rad),Angle moteur verin 2 (rad),Angle moteur verin 3 (rad),Vitesse moteur verin 1 (rad/s),Vitesse moteur verin 2 (rad/s),Vitesse moteur verin 3 (rad/s),Butee fleche,Butee balancier,Butee godet,Butee sol
10.020,30.428,-63.421,72.000,30.425,-63.411,70.321,77.345,-0.000,0.001,0.008,0.006,700.0,100.0,35.0,700.0,100.0,-21.1,-0.022,0.019,-2.518,-0.022,0.018,-2.501,70.8,2.7,0.1,-290.5,-120.0,-10.5,0.000,-0.000,-0.266,0.00,0.00,-7.38,0.00,0.00,1.97,67.17,13.54,9.29,0.01,0.00,0.03,3186.120,122.134,2.367,-0.991,0.823,-112.519,0,0,0,0
10.024,30.428,-63.421,72.000,30.424,-63.411,70.324,77.345,-0.000,0.001,0.008,0.006,700.0,100.0,35.0,700.0,100.0,-21.1,-0.022,0.019,-2.514,-0.022,0.018,-2.507,70.8,2.7,0.1,-290.5,-120.0,-10.5,0.000,-0.000,-0.266,0.00,0.00,-7.40,0.00,0.00,1.96,67.17,13.54,9.33,0.01,0.00,0.03,3186.120,122.134,2.308,-0.992,0.824,-112.775,0,0,0,0
10.051,30.428,-63.421,72.000,30.424,-63.411,70.322,77.345,-0.000,0.001,0.008,0.006,700.0,100.0,35.0,700.0,100.0,-21.1,-0.022,0.019,-2.517,-0.022,0.018,-2.507,70.8,2.7,0.1,-290.5,-120.0,-10.5,0.000,-0.000,-0.266,0.00,0.00,-7.38,0.00,0.00,1.97,67.17,13.54,9.37,0.01,0.00,0.03,3186.120,122.134,2.358,-0.994,0.825,-112.767,0,0,0,0
10.067,30.428,-63.421,72.000,30.424,-63.411,70.324,77.345,-0.000,0.001,0.008,0.006,700.0,100.0,35.0,700.0,100.0,-21.1,-0.023,0.019,-2.514,-0.022,0.018,-2.531,70.8,2.7,0.1,-290.5,-120.0,-10.5,0.000,-0.000,-0.266,0.00,0.00,-7.41,0.00,0.00,1.96,67.17,13.54,9.41,0.01,0.00,0.03,3186.119,122.134,2.299,-0.995,0.826,-113.852,0,0,0,0
10.099,30.428,-63.421,72.000,30.424,-63.411,70.322,77.345,-0.000,0.001,0.008,0.006,700.0,100.0,35.0,700.0,100.0,-21.1,-0.023,0.019,-2.517,-0.022,0.018,-2.531,70.8,2.7,0.1,-290.5,-120.0,-10.5,0.000,-0.000,-0.266,0.00,0.00,-7.39,0.00,0.00,1.97,67.17,13.54,9.45,0.01,0.00,0.03,3186.119,122.134,2.349,-0.996,0.827,-113.845,0,0,0,0
10.104,30.428,-63.421,72.000,30.424,-63.411,70.325,77.346,-0.000,0.001,-0.044,-0.034,700.0,100.0,35.0,700.0,100.0,-21.1,-0.023,0.019,-2.513,-0.022,0.018,-2.544,70.8,2.7,0.1,-290.5,-120.0,-10.5,0.000,-0.000,-0.285,0.00,0.00,-7.40,0.00,0.00,1.96,67.17,13.54,9.49,0.01,0.00,0.03,3186.119,122.134,2.290,-0.997,0.828,-114.436,0,0,0,0
10.130,30.428,-63.421,72.000,30.424,-63.411,70.323,77.345,-0.000,0.001,-0.044,-0.034,700.0,100.0,35.0,700.0,100.0,-21.1,-0.023,0.019,-2.516,-0.022,0.018,-2.544,70.8,2.7,0.1,-290.5,-120.0,-10.5,0.000,-0.000,-0.285,0.00,0.00,-7.39,0.00,0.00,2.11,67.17,13.54,9.53,0.01,0.00,0.03,3186.119,122.134,2.340,-0.999,0.829,-114.433,0,0,0,0
10.160,30.428,-63.421,72.000,30.424,-63.412,70.325,77.346,-0.000,0.001,-0.033,-0.026,700.0,100.0,35.0,700.0,100.0,-21.1,-0.023,0.018,-2.513,-0.022,0.018,-2.520,70.8,2.7,0.1,-288.9,-118.5,-10.1,0.000,-0.000,-0.147,0.00,0.00,-7.39,0.00,0.00,2.10,67.17,13.54,9.57,0.01,0.00,0.03,3186.119,122.134,2.285,-1.000,0.830,-113.377,0,0,0,0
10.166,30.428,-63.421,72.000,30.424,-63.412,70.323,77.346,-0.000,0.001,-0.033,-0.026,700.0,100.0,35.0,700.0,100.0,-21.1,-0.023,0.018,-2.516,-0.022,0.018,-2.520,70.8,2.7,0.1,-290.5,-120.0,-10.5,0.000,-0.000,-0.147,0.00,0.00,-7.39,0.00,0.00,1.08,67.17,13.54,9.59,0.01,0.00,0.03,3186.119,122.134,2.330,-1.001,0.830,-113.381,0,0,0,0
10.191,30.428,-63.421,72.000,30.424,-63.412,70.322,77.346,-0.000,0.001,0.036,0.028,700.0,100.0,35.0,700.0,100.0,-21.1,-0.023,0.018,-2.517,-0.022,0.018,-2.495,70.8,2.7,0.1,-287.8,-117.5,-9.7,0.000,-0.000,-0.121,0.00,0.00,-7.37,0.00,0.00,1.08,67.17,13.54,9.62,0.01,0.00,0.03,3186.119,122.134,2.362,-1.003,0.829,-112.237,0,0,0,0
10.207,30.428,-63.421,72.000,30.424,-63.412,70.323,77.346,-0.000,0.001,0.036,0.028,700.0,100.0,35.0,700.0,100.0,-21.1,-0.023,0.018,-2.515,-0.022,0.018,-2.496,70.8,2.7,0.1,-290.5,-120.0,-10.5,0.000,-0.000,-0.121,0.00,0.00,-7.40,0.00,0.00,0.89,67.17,13.54,9.63,0.01,0.00,0.02,3186.118,122.134,2.321,-1.004,0.829,-112.276,0,0,0,0
10.239,30.428,-63.421,72.000,30.424,-63.412,70.321,77.345,-0.000,0.001,0.036,0.028,700.0,100.0,35.0,700.0,100.0,-21.1,-0.023,0.018,-2.518,-0.022,0.018,-2.496,70.8,2.7,0.1,-290.5,-120.0,-10.5,0.000,-0.000,-0.121,0.00,0.00,-7.37,0.00,0.00,0.90,67.17,13.54,9.65,0.01,0.00,0.03,3186.118,122.134,2.371,-1.006,0.828,-112.267,0,0,0,0
10.245,30.428,-63.421,72.000,30.424,-63.412,70.324,77.346,-0.000,0.001,0.036,0.028,700.0,100.0,35.0,700.0,100.0,-21.1,-0.023,0.018,-2.514,-0.022,0.018,-2.500,70.8,2.7,0.1,-290.5,-120.0,-10.5,0.000,-0.000,-0.121,0.00,0.00,-7.40,0.00,0.00,0.89,67.17,13.54,9.67,0.01,0.00,0.03,3186.118,122.134,2.312,-1.007,0.827,-112.454,0,0,0,0
10.271,30.428,-63.421,72.000,30.424,-63.412,70.322,77.345,-0.000,0.001,0.036,0.028,700.0,100.0,35.0,700.0,100.0,-21.1,-0.023,0.018,-2.517,-0.022,0.018,-2.499,70.8,2.7,0.1,-290.5,-120.0,-10.5,0.000,-0.000,-0.121,0.00,0.00,-7.38,0.00,0.00,0.90,67.17,13.54,9.69,0.01,0.00,0.03,3186.118,122.134,2.362,-1.009,0.826,-112.446,0,0,0,0
10.286,30.428,-63.421,72.000,30.424,-63.412,70.324,77.346,-0.000,0.001,0.036,0.028,700.0,100.0,35.0,700.0,100.0,-21.1,-0.023,0.018,-2.514,-0.022,0.018,-2.516,70.8,2.7,0.1,-290.5,-120.0,-10.5,0.000,-0.000,-0.121,0.00,0.00,-7.41,0.00,0.00,0.89,67.17,13.54,9.71,0.01,0.00,0.03,3186.118,122.134,2.303,-1.010,0.825,-113.211,0,0,0,0
10.318,30.428,-63.421,72.000,30.424,-63.412,70.322,77.345,-0.000,0.001,0.036,0.028,700.0,100.0,35.0,700.0,100.0,-21.1,-0.023,0.018,-2.517,-0.022,0.018,-2.516,70.8,2.7,0.1,-290.5,-120.0,-10.5,0.000,-0.000,-0.121,0.00,0.00,-7.38,0.00,0.00,0.90,67.17,13.54,9.72,0.01,0.00,0.03,3186.118,122.134,2.353,-1.012,0.824,-113.204,0,0,0,0
10.334,30.428,-63.421,72.000,30.424,-63.412,70.325,77.346,-0.000,0.001,0.014,0.011,700.0,100.0,35.0,700.0,100.0,-21.1,-0.023,0.018,-2.513,-0.023,0.018,-2.532,70.8,2.7,0.1,-290.5,-120.0,-10.5,0.000,-0.000,-0.129,0.00,0.00,-7.40,0.00,0.00,0.90,67.17,13.54,9.74,0.01,0.00,0.03,3186.118,122.134,2.294,-1.013,0.822,-113.911,0,0,0,0
10.350,30.428,-63.421,72.000,30.424,-63.412,70.322,77.346,-0.000,0.001,0.014,0.011,700.0,100.0,35.0,700.0,100.0,-21.1,-0.023,0.018,-2.517,-0.023,0.018,-2.532,70.8,2.7,0.1,-290.5,-120.0,-10.5,0.000,-0.000,-0.129,0.00,0.00,-7.39,0.00,0.00,0.96,67.17,13.54,9.76,0.01,0.00,0.03,3186.117,122.134,2.344,-1.015,0.821,-113.906,0,0,0,0
10.366,30.428,-63.421,72.000,30.424,-63.412,70.324,77.346,-0.000,0.001,-0.023,-0.018,700.0,100.0,35.0,700.0,100.0,-21.1,-0.023,0.018,-2.513,-0.023,0.018,-2.525,70.8,2.7,0.1,-290.5,-120.0,-10.5,0.000,-0.000,-0.009,0.00,0.00,-7.40,0.00,0.00,0.96,67.17,13.54,9.78,0.01,0.00,0.03,3186.117,122.134,2.284,-1.016,0.819,-113.584,0,0,0,0
10.398,30.428,-63.421,72.000,30.424,-63.412,70.322,77.346,-0.000,0.001,-0.023,-0.018,700.0,100.0,35.0,700.0,100.0,-21.1,-0.023,0.018,-2.517,-0.023,0.018,-2.525,70.8,2.7,0.1,-290.5,-120.0,-10.5,0.000,-0.000,-0.009,0.00,0.00,-7.39,0.00,0.00,0.06,67.17,13.54,9.78,0.01,0.00,0.03,3186.117,122.134,2.335,-1.018,0.818,-113.586,0,0,0,0
10.413,30.428,-63.421,72.000,30.424,-63.412,70.323,77.346,-0.000,0.001,0.012,0.010,700.0,100.0,35.0,700.0,100.0,-21.1,-0.023,0.018,-2.515,-0.023,0.018,-2.504,70.8,2.7,0.1,-288.4,-118.0,-9.9,0.000,-0.000,0.004,0.00,0.00,-7.38,0.00,0.00,0.06,67.17,13.54,9.78,0.01,0.00,0.03,3186.117,122.134,2.308,-1.019,0.816,-112.646,0,0,0,0
10.428,30.428,-63.421,72.000,30.424,-63.412,70.323,77.346,-0.000,0.001,0.013,0.010,700.0,100.0,35.0,700.0,100.0,-21.1,-0.023,0.018,-2.516,-0.023,0.018,-2.505,70.8,2.7,0.1,-290.5,-120.0,-10.5,0.000,-0.000,0.004,0.00,0.00,-7.40,0.00,0.00,0.03,67.17,13.54,9.78,0.01,0.00,0.02,3186.117,122.134,2.325,-1.021,0.815,-112.675,0,0,0,0
10.459,30.428,-63.421,72.000,30.424,-63.412,70.321,77.345,-0.000,0.001,0.013,0.010,700.0,100.0,35.0,700.0,100.0,-21.1,-0.023,0.018,-2.519,-0.023,0.018,-2.504,70.8,2.7,0.1,-296.2,-125.2,-12.2,0.000,-0.000,-0.130,0.00,0.00,-7.37,0.00,0.00,0.03,67.17,13.54,9.78,0.01,0.00,0.03,3186.117,122.134,2.375,-1.023,0.813,-112.668,0,0,0,0
10.465,30.428,-63.421,72.000,30.424,-63.412,70.323,77.345,-0.000,0.001,0.013,0.010,700.0,100.0,35.0,700.0,100.0,-21.1,-0.023,0.018,-2.515,-0.023,0.018,-2.506,70.8,2.7,0.1,-290.5,-120.0,-10.5,0.000,-0.000,-0.130,0.00,0.00,-7.40,0.00,0.00,0.96,67.17,13.54,9.80,0.01,0.00,0.03,3186.117,122.134,2.316,-1.024,0.812,-112.756,0,0,0,0
10.490,30.428,-63.421,72.000,30.425,-63.412,70.321,77.345,-0.000,0.001,0.013,0.010,700.0,100.0,35.0,700.0,100.0,-21.1,-0.020,0.018,-2.518,-0.023,0.018,-2.506,70.8,2.7,0.1,-290.5,-120.0,-10.5,0.000,-0.000,-0.130,0.00,0.00,-7.38,0.00,0.00,0.96,67.17,13.54,9.82,0.01,0.00,0.03,3186.117,122.134,2.365,-1.025,0.810,-112.749,0,0,0,0
10.506,30.428,-63.421,72.000,30.425,-63.412,70.324,77.345,-0.000,0.001,0.013,0.010,700.0,100.0,35.0,700.0,100.0,-21.1,-0.020,0.018,-2.515,-0.023,0.018,-2.515,70.8,2.7,0.1,-290.5,-120.0,-10.5,0.000,-0.000,-0.130,0.00,0.00,-7.41,0.00,0.00,0.96,67.17,13.54,9.84,0.01,0.00,0.03,3186.117,122.134,2.306,-1.024,0.809,-113.130,0,0,0,0
10.538,30.428,-63.421,72.000,30.425,-63.412,70.321,77.345,-0.000,0.001,0.013,0.010,700.0,100.0,35.0,700.0,100.0,-21.1,-0.020,0.018,-2.518,-0.023,0.018,-2.515,70.8,2.7,0.1,-290.5,-120.0,-10.5,0.000,-0.000,-0.130,0.00,0.00,-7.38,0.00,0.00,0.96,67.17,13.54,9.86,0.01,0.00,0.03,3186.116,122.134,2.356,-1.022,0.807,-113.124,0,0,0,0
10.554,30.428,-63.421,72.000,30.425,-63.412,70.324,77.345,-0.000,0.001,0.002,0.002,700.0,100.0,35.0,700.0,100.0,-21.1,-0.020,0.018,-2.514,-0.023,0.018,-2.535,70.8,2.7,0.1,-290.5,-120.0,-10.5,0.000,-0.000,-0.134,0.00,0.00,-7.41,0.00,0.00,0.96,67.17,13.54,9.88,0.01,0.00,0.03,3186.116,122.134,2.297,-1.019,0.806,-114.063,0,0,0,0
10.569,30.428,-63.421,72.000,30.425,-63.412,70.322,77.345,-0.000,0.001,0.002,0.002,700.0,100.0,35.0,700.0,100.0,-21.1,-0.020,0.018,-2.517,-0.023,0.018,-2.535,70.8,2.7,0.1,-290.5,-120.0,-10.5,0.000,-0.000,-0.134,0.00,0.00,-7.39,0.00,0.00,0.99,67.17,13.54,9.90,0.01,0.00,0.03,3186.116,122.134,2.347,-1.016,0.805,-114.059,0,0,0,0
10.599,30.428,-63.421,72.000,30.425,-63.412,70.324,77.345,-0.000,0.001,-0.067,-0.052,700.0,100.0,35.0,700.0,100.0,-21.1,-0.020,0.018,-2.513,-0.022,0.018,-2.548,70.8,2.7,0.1,-290.5,-120.0,-10.5,0.000,-0.000,-0.159,0.00,0.00,-7.40,0.00,0.00,0.99,67.17,13.54,9.92,0.01,0.00,0.03,3186.116,122.134,2.287,-1.012,0.804,-114.637,0,0,0,0
10.605,30.428,-63.421,72.000,30.425,-63.412,70.322,77.345,-0.000,0.001,-0.067,-0.052,700.0,100.0,35.0,700.0,100.0,-21.1,-0.020,0.018,-2.517,-0.022,0.018,-2.548,70.8,2.7,0.1,-290.5,-120.0,-10.5,0.000,-0.000,-0.159,0.00,0.00,-7.39,0.00,0.00,1.18,67.17,13.54,9.94,0.01,0.00,0.03,3186.116,122.134,2.337,-1.008,0.804,-114.638,0,0,0,0
10.630,30.428,-63.421,72.000,30.425,-63.412,70.324,77.345,-0.000,0.001,-0.045,-0.035,700.0,100.0,35.0,700.0,100.0,-21.1,-0.020,0.018,-2.514,-0.022,0.018,-2.527,70.8,2.7,0.1,-288.7,-118.3,-10.0,0.000,-0.000,-0.151,0.00,0.00,-7.38,0.00,0.00,1.17,67.17,13.54,9.97,0.01,0.00,0.03,3186.116,122.134,2.293,-1.003,0.804,-113.663,0,0,0,0
10.646,30.428,-63.421,72.000,30.425,-63.412,70.323,77.345,-0.000,0.001,-0.045,-0.035,700.0,100.0,35.0,700.0,100.0,-21.1,-0.020,0.018,-2.516,-0.022,0.018,-2.527,70.8,2.7,0.1,-290.5,-120.0,-10.5,0.000,-0.000,-0.151,0.00,0.00,-7.40,0.00,0.00,1.11,67.17,13.54,9.99,0.01,0.00,0.03,3186.116,122.134,2.328,-0.998,0.805,-113.674,0,0,0,0
10.676,30.428,-63.421,72.000,30.425,-63.412,70.321,77.345,-0.000,0.001,-0.008,-0.006,700.0,100.0,35.0,700.0,100.0,-21.1,-0.020,0.018,-2.519,-0.022,0.018,-2.516,70.8,2.7,0.1,-295.4,-124.5,-12.0,0.000,-0.000,-0.271,0.00,0.00,-7.37,0.00,0.00,1.12,67.17,13.54,10.01,0.01,0.00,0.03,3186.116,122.134,2.377,-0.993,0.805,-113.183,0,0,0,0
10.692,30.428,-63.421,72.000,30.425,-63.412,70.323,77.345,-0.000,0.001,-0.008,-0.006,700.0,100.0,35.0,700.0,100.0,-21.1,-0.020,0.018,-2.515,-0.022,0.018,-2.517,70.8,2.7,0.1,-290.5,-120.0,-10.5,0.000,-0.000,-0.271,0.00,0.00,-7.40,0.00,0.00,2.00,67.17,13.54,10.05,0.01,0.00,0.03,3186.116,122.134,2.318,-0.987,0.805,-113.243,0,0,0,0
10.707,30.428,-63.421,72.000,30.425,-63.412,70.321,77.345,-0.000,0.001,-0.008,-0.006,700.0,100.0,35.0,700.0,100.0,-21.1,-0.020,0.018,-2.519,-0.022,0.018,-2.517,70.8,2.7,0.1,-290.5,-120.0,-10.5,0.000,-0.000,-0.271,0.00,0.00,-7.38,0.00,0.00,2.01,67.17,13.54,10.09,0.01,0.00,0.03,3186.116,122.134,2.368,-0.982,0.806,-113.237,0,0,0,0
10.739,30.428,-63.421,72.000,30.425,-63.412,70.323,77.345,-0.000,0.001,-0.008,-0.006,700.0,100.0,35.0,700.0,100.0,-21.1,-0.020,0.018,-2.515,-0.022,0.018,-2.523,70.8,2.7,0.1,-290.5,-120.0,-10.5,0.000,-0.000,-0.271,0.00,0.00,-7.40,0.00,0.00,2.00,67.17,13.54,10.13,0.01,0.00,0.03,3186.116,122.134,2.309,-0.977,0.807,-113.506,0,0,0,0
10.745,30.428,-63.421,72.000,30.425,-63.412,70.321,77.345,-0.000,0.001,-0.008,-0.006,700.0,100.0,35.0,700.0,100.0,-21.1,-0.020,0.018,-2.518,-0.022,0.018,-2.523,70.8,2.7,0.1,-290.5,-120.0,-10.5,0.000,-0.000,-0.271,0.00,0.00,-7.38,0.00,0.00,2.01,67.17,13.54,10.17,0.01,0.00,0.03,3186.115,122.134,2.359,-0.971,0.807,-113.500,0,0,0,0
10.770,30.428,-63.421,72.000,30.425,-63.412,70.324,77.345,-0.000,0.001,-0.008,-0.006,700.0,100.0,35.0,700.0,100.0,-21.1,-0.020,0.018,-2.514,-0.021,0.018,-2.539,70.8,2.7,0.1,-290.5,-120.0,-10.5,0.000,-0.000,-0.271,0.00,0.00,-7.41,0.00,0.00,2.00,67.17,13.54,10.21,0.01,0.00,0.03,3186.115,122.134,2.299,-0.965,0.808,-114.235,0,0,0,0
10.785,30.428,-63.421,72.000,30.425,-63.412,70.322,77.345,-0.000,0.001,-0.008,-0.006,700.0,100.0,35.0,700.0,100.0,-21.1,-0.021,0.018,-2.517,-0.021,0.018,-2.539,70.8,2.7,0.1,-290.5,-120.0,-10.5,0.000,-0.000,-0.271,0.00,0.00,-7.39,0.00,0.00,2.01,67.17,13.54,10.25,0.01,0.00,0.03,3186.115,122.134,2.349,-0.960,0.809,-114.228,0,0,0,0
10.817,30.428,-63.421,72.000,30.425,-63.412,70.324,77.345,-0.000,0.001,-0.044,-0.034,700.0,100.0,35.0,700.0,100.0,-21.1,-0.021,0.018,-2.514,-0.021,0.018,-2.551,70.8,2.7,0.1,-290.5,-120.0,-10.5,0.000,-0.000,-0.285,0.00,0.00,-7.40,0.00,0.00,2.00,67.17,13.54,10.29,0.01,0.00,0.03,3186.115,122.134,2.290,-0.954,0.810,-114.778,0,0,0,0
10.824,30.428,-63.421,72.000,30.425,-63.412,70.322,77.345,-0.000,0.001,-0.044,-0.034,700.0,100.0,35.0,700.0,100.0,-21.1,-0.021,0.018,-2.517,-0.021,0.018,-2.551,70.8,2.7,0.1,-290.5,-120.0,-10.5,0.000,-0.000,-0.284,0.00,0.00,-7.39,0.00,0.00,2.11,67.17,13.54,10.33,0.01,0.00,0.03,3186.115,122.134,2.340,-0.948,0.811,-114.774,0,0,0,0
10.849,30.428,-63.421,72.000,30.425,-63.412,70.324,77.345,-0.000,0.001,-0.034,-0.026,700.0,100.0,35.0,700.0,100.0,-21.1,-0.021,0.018,-2.513,-0.021,0.018,-2.528,70.8,2.7,0.1,-288.9,-118.5,-10.1,0.000,-0.000,-0.147,0.00,0.00,-7.39,0.00,0.00,2.10,67.17,13.54,10.38,0.01,0.00,0.03,3186.115,122.134,2.285,-0.942,0.812,-113.719,0,0,0,0
10.865,30.428,-63.421,72.000,30.425,-63.412,70.323,77.345,-0.000,0.001,-0.034,-0.026,700.0,100.0,35.0,700.0,100.0,-21.1,-0.021,0.018,-2.516,-0.021,0.018,-2.528,70.8,2.7,0.1,-290.5,-120.0,-10.5,0.000,-0.000,-0.147,0.00,0.00,-7.40,0.00,0.00,1.08,67.17,13.54,10.40,0.01,0.00,0.03,3186.115,122.134,2.331,-0.936,0.813,-113.725,0,0,0,0
10.896,30.428,-63.421,72.000,30.425,-63.412,70.321,77.345,-0.000,0.001,0.036,0.027,700.0,100.0,35.0,700.0,100.0,-21.1,-0.021,0.018,-2.518,-0.021,0.018,-2.502,70.8,2.7,0.1,-287.8,-117.5,-9.7,0.000,-0.000,-0.121,0.00,0.00,-7.37,0.00,0.00,1.08,67.17,13.54,10.42,0.01,0.00,0.03,3186.115,122.134,2.362,-0.932,0.813,-112.581,0,0,0,0
10.912,30.428,-63.421,72.000,30.425,-63.412,70.323,77.345,-0.000,0.001,0.036,0.027,700.0,100.0,35.0,700.0,100.0,-21.1,-0.021,0.018,-2.516,-0.021,0.018,-2.503,70.8,2.7,0.1,-290.5,-120.0,-10.5,0.000,-0.000,-0.121,0.00,0.00,-7.40,0.00,0.00,0.89,67.17,13.54,10.44,0.01,0.00,0.02,3186.115,122.134,2.321,-0.929,0.814,-112.605,0,0,0,0
10.927,30.428,-63.421,72.000,30.425,-63.412,70.321,77.345,-0.000,0.001,0.036,0.027,700.0,100.0,35.0,700.0,100.0,-21.1,-0.021,0.018,-2.519,-0.021,0.018,-2.503,70.8,2.7,0.1,-290.5,-120.0,-10.5,0.000,-0.000,-0.121,0.00,0.00,-7.38,0.00,0.00,0.90,67.17,13.54,10.46,0.01,0.00,0.03,3186.115,122.134,2.371,-0.926,0.815,-112.598,0,0,0,0
10.959,30.428,-63.421,72.000,30.425,-63.411,70.323,77.345,-0.000,0.001,0.036,0.028,700.0,100.0,35.0,700.0,100.0,-21.1,-0.021,0.018,-2.515,-0.021,0.018,-2.506,70.8,2.7,0.1,-290.5,-120.0,-10.5,0.000,-0.000,-0.121,0.00,0.00,-7.40,0.00,0.00,0.89,67.17,13.54,10.47,0.01,0.00,0.03,3186.115,122.134,2.312,-0.925,0.816,-112.724,0,0,0,0
10.965,30.428,-63.421,72.000,30.425,-63.411,70.321,77.345,-0.000,0.001,0.036,0.028,700.0,100.0,35.0,700.0,100.0,-21.1,-0.021,0.018,-2.518,-0.021,0.018,-2.506,70.8,2.7,0.1,-290.5,-120.0,-10.5,0.000,-0.000,-0.121,0.00,0.00,-7.38,0.00,0.00,0.90,67.17,13.54,10.49,0.01,0.00,0.03,3186.115,122.134,2.361,-0.924,0.817,-112.717,0,0,0,0
10.989,30.428,-63.421,72.000,30.425,-63.411,70.324,77.345,-0.000,0.001,0.036,0.028,700.0,100.0,35.0,700.0,100.0,-21.1,-0.021,0.018,-2.514,-0.021,0.018,-2.517,70.8,2.7,0.1,-290.5,-120.0,-10.5,0.000,-0.000,-0.121,0.00,0.00,-7.41,0.00,0.00,0.89,67.17,13.54,10.51,0.01,0.00,0.03,3186.115,122.134,2.302,-0.924,0.818,-113.235,0,0,0,0
11.005,30.428,-63.421,72.000,30.425,-63.411,70.322,77.345,-0.000,0.001,0.036,0.028,700.0,100.0,35.0,700.0,100.0,-21.1,-0.021,0.018,-2.518,-0.021,0.018,-2.517,70.8,2.7,0.1,-290.5,-120.0,-10.5,0.000,-0.000,-0.121,0.00,0.00,-7.39,0.00,0.00,0.90,67.17,13.54,10.53,0.01,0.00,0.03,3186.115,122.134,2.352,-0.925,0.819,-113.229,0,0,0,0
11.035,30.428,-63.421,72.000,30.425,-63.411,70.324,77.345,-0.000,0.001,0.013,0.010,700.0,100.0,35.0,700.0,100.0,-21.1,-0.021,0.019,-2.514,-0.021,0.018,-2.533,70.8,2.7,0.1,-290.5,-120.0,-10.5,0.000,-0.000,-0.129,0.00,0.00,-7.41,0.00,0.00,0.89,67.17,13.54,10.54,0.01,0.00,0.03,3186.114,122.134,2.293,-0.925,0.820,-113.938,0,0,0,0
11.050,30.428,-63.421,72.000,30.425,-63.411,70.322,77.345,-0.000,0.001,0.013,0.010,700.0,100.0,35.0,700.0,100.0,-21.1,-0.021,0.019,-2.517,-0.021,0.018,-2.533,70.8,2.7,0.1,-290.5,-120.0,-10.5,0.000,-0.000,-0.129,0.00,0.00,-7.39,0.00,0.00,0.96,67.17,13.54,10.56,0.01,0.00,0.03,3186.114,122.134,2.343,-0.926,0.821,-113.934,0,0,0,0
11.066,30.428,-63.421,72.000,30.425,-63.411,70.325,77.345,-0.000,0.001,-0.024,-0.018,700.0,100.0,35.0,700.0,100.0,-21.1,-0.021,0.019,-2.513,-0.021,0.018,-2.518,70.8,2.7,0.1,-290.5,-120.0,-10.5,0.000,-0.000,-0.009,0.00,0.00,-7.39,0.00,0.00,0.96,67.17,13.54,10.58,0.01,0.00,0.03,3186.114,122.134,2.283,-0.927,0.822,-113.262,0,0,0,0
11.098,30.428,-63.421,72.000,30.425,-63.411,70.322,77.345,-0.000,0.001,-0.024,-0.018,700.0,100.0,35.0,700.0,100.0,-21.1,-0.021,0.019,-2.516,-0.021,0.018,-2.518,70.8,2.7,0.1,-290.5,-120.0,-10.5,0.000,-0.000,-0.009,0.00,0.00,-7.39,0.00,0.00,0.06,67.17,13.54,10.58,0.01,0.00,0.03,3186.114,122.134,2.333,-0.929,0.823,-113.264,0,0,0,0
11.114,30.428,-63.421,72.000,30.425,-63.411,70.324,77.345,-0.000,0.001,0.012,0.009,700.0,100.0,35.0,700.0,100.0,-21.1,-0.021,0.019,-2.515,-0.021,0.018,-2.497,70.8,2.7,0.1,-288.4,-118.1,-9.9,0.000,-0.000,0.004,0.00,0.00,-7.38,0.00,0.00,0.06,67.17,13.54,10.59,0.01,0.00,0.03,3186.114,122.134,2.307,-0.930,0.824,-112.324,0,0,0,0
11.130,30.428,-63.421,72.000,30.425,-63.411,70.323,77.345,-0.000,0.001,0.012,0.009,700.0,100.0,35.0,700.0,100.0,-21.1,-0.021,0.019,-2.516,-0.021,0.018,-2.497,70.8,2.7,0.1,-290.5,-120.0,-10.5,0.000,-0.000,0.004,0.00,0.00,-7.40,0.00,0.00,0.03,67.17,13.54,10.59,0.01,0.00,0.02,3186.114,122.134,2.324,-0.932,0.825,-112.341,0,0,0,0
