Temps (s);Angle moteur (°);Angle vantail (°);Couple moteur (Nm);Couple vantail (Nm)
0,427084;16,60000038;1,320000052;197;274
0,427872;16,39999962;0,99000001;199;273
0,428652;16,39999962;0,99000001;200;272
0,429436;16,20000076;0,99000001;198;273
0,43022;16,20000076;1,649999976;198;272
0,431008;16,20000076;0,99000001;198;274
0,431788;16,20000076;0,660000026;199;274
0,432572;16,60000038;0,660000026;199;273
0,433364;15,80000019;0,99000001;198;273
0,434148;16,20000076;0,99000001;198;274
0,434932;16,60000038;0,660000026;199;275
0,435716;16,60000038;1,320000052;197;274
0,4365;16,39999962;0,99000001;200;274
0,437292;16,20000076;0,99000001;197;275
0,43808;16,60000038;0,660000026;197;274
0,43886;16,60000038;0,99000001;198;273
0,439652;16,20000076;0,99000001;198;273
0,440436;16,20000076;1,980000019;197;274
0,441224;16,60000038;1,320000052;199;276
0,442004;16,60000038;1,320000052;199;270
0,442788;16,39999962;0,330000013;196;272
0,44358;16,20000076;1,320000052;198;274
0,444364;16,60000038;0,660000026;197;274
0,445148;16,60000038;1,320000052;198;268
0,445932;16,39999962;0,99000001;198;272
0,446716;16,20000076;1,320000052;198;271
0,4475;16,20000076;1,649999976;198;273
0,448284;16,20000076;1,980000019;196;275
0,449068;16,20000076;0,660000026;197;274
0,449852;16,60000038;0,660000026;200;274
0,450636;16,60000038;0,330000013;200;272
0,451424;16,39999962;1,320000052;200;271
0,452204;16,20000076;0,99000001;198;273
0,452988;16,20000076;0,99000001;196;273
0,453772;16,20000076;1,320000052;193;274
0,45456;16,20000076;1,320000052;199;275
0,45534;16,60000038;0,660000026;200;274
0,456124;16,39999962;0,330000013;198;273
0,456916;16,20000076;0,99000001;197;274
0,4577;16,60000038;1,320000052;199;275
0,458484;16,60000038;0,660000026;198;274
0,459268;16,39999962;0,99000001;200;272
0,460052;16,39999962;1,320000052;198;274
0,460844;16,60000038;1,320000052;197;274
0,461632;16,79999924;1,320000052;199;280
0,462412;16,39999962;1,980000019;198;274
0,463204;16,20000076;0,99000001;198;274
0,463988;16,60000038;0,660000026;197;274
0,464776;16,60000038;0,660000026;197;274
0,465556;16,39999962;0,99000001;199;272
0,46634;16,20000076;0,99000001;197;274
0,467132;16,20000076;0,660000026;199;274
0,467916;16,60000038;1,320000052;197;272
0,4687;16,39999962;0,99000001;200;272
0,469484;16,20000076;1,320000052;198;271
0,470268;16,20000076;1,649999976;199;273
0,471052;16,20000076;1,980000019;194;274
0,471836;16;0,99000001;197;275
0,47262;16,60000038;1,320000052;198;274
0,473404;16,20000076;0,99000001;199;273
0,474188;16,39999962;0,99000001;200;272
0,474976;16,20000076;0,99000001;198;273
0,475756;16,20000076;1,320000052;197;274
0,47654;16,20000076;0,99000001;197;274
0,477324;16,60000038;0,660000026;199;275
0,478112;17,20000076;0,660000026;197;274
0,478892;16,39999962;0,99000001;201;272
0,479676;16,20000076;0,99000001;197;275
0,480468;16,60000038;1,320000052;199;275
0,481252;16,79999924;1,320000052;199;274
0,482036;16,39999962;0,99000001;199;273
0,48282;16,20000076;1,320000052;198;272
0,483604;16,20000076;1,649999976;198;274
0,484396;16,60000038;0,660000026;198;272
0,485184;16,39999962;0,330000013;200;272
0,485964;16,20000076;0,99000001;197;274
0,486756;16,20000076;0,660000026;197;272
0,48754;16,60000038;0,99000001;198;272
0,488328;16,39999962;1,320000052;198;272
0,489108;16,20000076;0,99000001;199;273
0,489892;16,20000076;1,649999976;197;274
0,490684;16,60000038;1,320000052;199;272
0,491468;16,39999962;0,330000013;200;273
0,492252;16,20000076;1,649999976;199;273
0,493036;16,20000076;0,99000001;196;273
0,49382;16,20000076;0,99000001;195;274
0,494604;16,60000038;0,99000001;197;273
0,495388;16,60000038;0,660000026;198;274
0,496172;16,60000038;0,330000013;199;272
0,496956;16,20000076;0,99000001;200;273
0,49774;16,20000076;1,649999976;198;273
0,498528;16,20000076;1,320000052;196;273
0,499308;16,20000076;0,99000001;197;273
0,500092;16,60000038;0,660000026;199;275
0,500876;16,60000038;0,660000026;198;274
0,501664;16,39999962;1,320000052;198;272
0,502444;16,20000076;0,99000001;198;273
0,503228;16,20000076;0,99000001;197;274
0,50402;16,60000038;0,99000001;198;273
0,504804;16,39999962;0,99000001;200;271
0,505588;16,20000076;1,649999976;198;272
0,506372;16,20000076;0,99000001;202;272
0,507156;16,20000076;0,99000001;197;272
0,507948;16,39999962;0,99000001;198;272
0,508736;16,20000076;1,649999976;198;273
0,509516;16,20000076;0,99000001;197;274
0,510308;16,60000038;0,99000001;198;273
0,511092;16,39999962;1,320000052;200;276
