Temps (s),Consigne flèche (deg),Consigne balancier (deg),Consigne godet (deg),Gamma 1 (deg),Gamma 2 (deg),Gamma 3 (deg),Gamma 5 (deg),Vitesse axe flèche (deg/s),Vitesse axe balancier (deg/s),Vitesse axe godet (deg/s),Vitesse axe triangle (deg/s),Consigne X (mm),Consigne Y (mm),Consigne gamma (deg),X (mm),Y (mm),Gamma (deg),Consigne vitesse vérin 1 (mm/s),Consigne vitesse vérin 2 (mm/s),Consigne vitesse vérin 3 (mm/s),Vitesse vérin 1 (mm/s),Vitesse vérin 2 (mm/s),Vitesse vérin 3 (mm/s),Longueur vérin 1 (mm),Longueur vérin 2 (mm),Longueur vérin 3 (mm),Force vérin 1 (N),Force vérin 2 (N),Force vérin 3 (N),Courant vérin 1 (A),Courant vérin 2 (A),Courant vérin 3 (A),Tension vérin 1 (V),Tension vérin 2 (V),Tension vérin 3 (V),Puissance vérin 1 (W),Puissance vérin 2 (W),Puissance vérin 3 (W),Energie vérin 1 (J),Energie vérin 2 (J),Energie vérin 3 (J),Puissance mécanique vérin 1 (W),Puissance mécanique vérin 2 (W),Puissance mécanique vérin 3 (W),Angle moteur vérin 1 (rad),Angle moteur vérin 2 (rad),Angle moteur vérin 3 (rad),Vitesse moteur vérin 1 (rad/s),Vitesse moteur vérin 2 (rad/s),Vitesse moteur vérin 3 (rad/s),Butée flèche,Butée balancier,Butée godet,Butée sol
7.999,41.431,-74.757,72.000,42.599,-75.980,70.324,77.345,-5.377,4.119,-0.016,-0.012,640.5,179.3,35.0,633.3,186.9,-21.4,7.006,-2.446,-2.515,7.049,-2.326,-2.518,55.8,9.6,0.1,-214.6,-106.6,-10.6,0.464,-0.636,-0.140,14.13,-6.68,-7.41,6.56,4.24,1.03,56.43,22.90,6.16,1.51,0.25,0.03,2511.092,431.127,2.306,317.103,-104.656,-113.285,0,0,0,0
8.031,41.324,-74.665,72.000,42.491,-75.893,70.322,77.345,-5.380,4.140,-0.016,-0.012,641.1,178.5,35.0,633.9,186.1,-21.5,7.002,-2.456,-2.518,7.045,-2.337,-2.518,56.0,9.5,0.1,-215.2,-106.6,-10.6,0.463,-0.636,-0.140,14.13,-6.69,-7.38,6.55,4.25,1.04,56.57,22.98,6.18,1.51,0.25,0.03,2517.502,428.882,2.356,316.934,-105.143,-113.278,0,0,0,0
8.036,41.216,-74.572,72.000,42.383,-75.806,70.324,77.345,-5.383,4.161,-0.016,-0.012,641.7,177.7,35.0,634.5,185.3,-21.5,6.998,-2.467,-2.514,7.041,-2.348,-2.541,56.1,9.5,0.1,-215.8,-106.7,-10.6,0.463,-0.636,-0.140,14.12,-6.70,-7.41,6.54,4.25,1.03,56.70,23.07,6.20,1.52,0.25,0.03,2523.908,426.628,2.297,316.764,-105.629,-114.319,0,0,0,0
8.062,41.109,-74.480,72.000,42.275,-75.718,70.322,77.345,-5.386,4.182,-0.016,-0.012,642.3,176.9,35.0,635.1,184.5,-21.5,6.994,-2.478,-2.517,7.037,-2.359,-2.541,56.2,9.4,0.1,-216.4,-106.7,-10.6,0.463,-0.636,-0.140,14.11,-6.72,-7.39,6.54,4.26,1.04,56.83,23.16,6.22,1.52,0.25,0.03,2530.310,424.365,2.347,316.594,-106.115,-114.313,0,0,0,0
8.078,41.001,-74.386,72.000,42.166,-75.631,70.324,77.345,-5.389,4.203,-0.067,-0.052,642.9,176.1,35.0,635.7,183.7,-21.5,6.990,-2.488,-2.513,7.034,-2.370,-2.550,56.4,9.4,0.1,-217.0,-106.7,-10.6,0.462,-0.636,-0.159,14.10,-6.73,-7.40,6.53,4.27,1.03,56.96,23.24,6.24,1.52,0.25,0.03,2536.709,422.091,2.287,316.423,-106.601,-114.728,0,0,0,0
8.109,40.893,-74.293,72.000,42.058,-75.542,70.322,77.345,-5.392,4.224,-0.067,-0.052,643.5,175.3,35.0,636.3,182.8,-21.6,6.986,-2.499,-2.517,7.030,-2.380,-2.550,56.5,9.3,0.1,-217.6,-106.8,-10.6,0.462,-0.636,-0.159,14.10,-6.74,-7.39,6.52,4.28,1.18,57.09,23.33,6.26,1.53,0.25,0.03,2543.105,419.808,2.337,316.252,-107.086,-114.726,0,0,0,0
8.114,40.786,-74.199,72.000,41.949,-75.454,70.324,77.345,-5.395,4.246,-0.045,-0.035,644.1,174.5,35.0,636.9,182.0,-21.6,6.982,-2.509,-2.514,7.026,-2.391,-2.528,56.7,9.3,0.1,-216.7,-105.4,-10.0,0.461,-0.636,-0.151,14.09,-6.76,-7.38,6.51,4.29,1.17,57.22,23.41,6.29,1.53,0.25,0.03,2549.497,417.515,2.293,316.081,-107.569,-113.750,0,0,0,0
8.140,40.678,-74.104,72.000,41.841,-75.364,70.323,77.345,-5.398,4.267,-0.045,-0.035,644.7,173.7,35.0,637.5,181.2,-21.6,6.979,-2.520,-2.516,7.022,-2.402,-2.529,56.8,9.2,0.1,-218.8,-106.9,-10.6,0.461,-0.636,-0.151,14.08,-6.77,-7.40,6.50,4.30,1.11,57.35,23.50,6.31,1.52,0.25,0.03,2555.885,415.211,2.328,315.909,-108.052,-113.761,0,0,0,0
8.156,40.570,-74.009,72.000,41.732,-75.275,70.321,77.345,-5.401,4.288,-0.008,-0.006,645.3,172.9,35.0,638.1,180.4,-21.6,6.971,-2.531,-2.519,7.018,-2.413,-2.518,57.0,9.2,0.1,-223.4,-110.9,-12.0,0.461,-0.636,-0.271,14.07,-6.78,-7.37,6.49,4.31,1.12,57.48,23.58,6.33,1.54,0.26,0.03,2562.270,412.899,2.377,315.733,-108.535,-113.268,0,0,0,0
8.188,40.462,-73.914,72.000,41.623,-75.185,70.323,77.345,-5.403,4.310,-0.008,-0.006,645.9,172.1,35.0,638.7,179.6,-21.6,6.967,-2.541,-2.515,7.014,-2.423,-2.519,57.1,9.1,0.1,-220.0,-107.0,-10.6,0.460,-0.636,-0.271,14.06,-6.80,-7.40,6.48,4.32,2.00,57.61,23.67,6.37,1.57,0.27,0.03,2568.650,410.576,2.319,315.556,-109.017,-113.328,0,0,0,0
8.195,40.354,-73.818,72.000,41.515,-75.094,70.321,77.345,-5.406,4.331,-0.008,-0.006,646.5,171.3,35.0,639.3,178.7,-21.6,6.964,-2.552,-2.518,7.010,-2.434,-2.519,57.2,9.1,0.1,-220.6,-107.0,-10.6,0.460,-0.636,-0.271,14.05,-6.81,-7.38,6.47,4.33,2.01,57.74,23.76,6.41,1.54,0.26,0.03,2575.025,408.244,2.368,315.377,-109.498,-113.321,0,0,0,0
8.219,40.246,-73.722,72.000,41.406,-75.003,70.324,77.345,-5.409,4.352,-0.008,-0.006,647.1,170.5,35.0,639.9,177.9,-21.7,6.960,-2.562,-2.515,7.006,-2.445,-2.523,57.4,9.0,0.1,-221.2,-107.1,-10.6,0.460,-0.637,-0.271,14.05,-6.82,-7.40,6.46,4.33,2.00,57.87,23.84,6.45,1.55,0.26,0.03,2581.397,405.902,2.310,315.197,-109.979,-113.500,0,0,0,0
8.250,40.138,-73.626,72.000,41.297,-74.912,70.321,77.345,-5.412,4.374,-0.008,-0.006,647.7,169.7,35.0,640.5,177.1,-21.7,6.956,-2.573,-2.518,7.002,-2.455,-2.523,57.5,9.0,0.1,-221.8,-107.1,-10.6,0.459,-0.637,-0.271,14.04,-6.84,-7.38,6.46,4.34,2.01,58.00,23.93,6.49,1.55,0.26,0.03,2587.766,403.550,2.359,315.016,-110.459,-113.493,0,0,0,0
8.256,40.030,-73.529,72.000,41.188,-74.820,70.324,77.345,-5.415,4.395,-0.008,-0.006,648.3,168.9,35.0,641.1,176.3,-21.7,6.953,-2.583,-2.514,6.998,-2.466,-2.539,57.7,8.9,0.1,-222.4,-107.2,-10.6,0.459,-0.637,-0.271,14.03,-6.85,-7.41,6.45,4.35,2.00,58.12,24.02,6.53,1.55,0.26,0.03,2594.131,401.189,2.300,314.835,-110.938,-114.227,0,0,0,0
8.280,39.921,-73.431,72.000,41.080,-74.728,70.322,77.345,-5.418,4.417,-0.008,-0.006,648.9,168.1,35.0,641.7,175.5,-21.7,6.949,-2.594,-2.517,6.994,-2.477,-2.539,57.8,8.9,0.1,-223.0,-107.2,-10.6,0.459,-0.637,-0.271,14.02,-6.86,-7.39,6.44,4.36,2.01,58.25,24.10,6.57,1.56,0.26,0.03,2600.492,398.818,2.350,314.654,-111.417,-114.221,0,0,0,0
8.296,39.813,-73.333,72.000,40.971,-74.635,70.324,77.345,-5.421,4.439,-0.044,-0.034,649.5,167.3,35.0,642.3,174.7,-21.7,6.945,-2.604,-2.513,6.990,-2.487,-2.551,57.9,8.8,0.1,-223.6,-107.3,-10.6,0.458,-0.637,-0.285,14.02,-6.88,-7.40,6.43,4.37,2.00,58.38,24.19,6.61,1.56,0.27,0.03,2606.850,396.437,2.291,314.473,-111.895,-114.771,0,0,0,0
8.327,39.705,-73.235,72.000,40.862,-74.542,70.322,77.345,-5.424,4.460,-0.044,-0.034,650.1,166.5,35.0,642.9,173.8,-21.7,6.941,-2.614,-2.517,6.986,-2.498,-2.551,58.1,8.8,0.1,-224.3,-107.3,-10.6,0.458,-0.637,-0.285,14.01,-6.89,-7.39,6.42,4.38,2.11,58.51,24.28,6.65,1.56,0.27,0.03,2613.205,394.046,2.341,314.293,-112.373,-114.767,0,0,0,0
8.343,39.596,-73.136,72.000,40.752,-74.449,70.325,77.345,-5.427,4.482,-0.044,-0.034,650.7,165.7,35.0,643.5,173.0,-21.8,6.937,-2.625,-2.513,6.982,-2.508,-2.525,58.2,8.7,0.1,-224.9,-107.4,-10.6,0.457,-0.637,-0.150,14.00,-6.90,-7.39,6.41,4.39,2.10,58.64,24.37,6.69,1.57,0.27,0.03,2619.556,391.646,2.281,314.113,-112.849,-113.609,0,0,0,0
