Temps (s),Consigne flèche (deg),Consigne balancier (deg),Consigne godet (deg),Gamma 1 (deg),Gamma 2 (deg),Gamma 3 (deg),Gamma 5 (deg),Vitesse axe flèche (deg/s),Vitesse axe balancier (deg/s),Vitesse axe godet (deg/s),Vitesse axe triangle (deg/s),Consigne X (mm),Consigne Y (mm),Consigne gamma (deg),X (mm),Y (mm),Gamma (deg),Consigne vitesse vérin 1 (mm/s),Consigne vitesse vérin 2 (mm/s),Consigne vitesse vérin 3 (mm/s),Vitesse vérin 1 (mm/s),Vitesse vérin 2 (mm/s),Vitesse vérin 3 (mm/s),Longueur vérin 1 (mm),Longueur vérin 2 (mm),Longueur vérin 3 (mm),Force vérin 1 (N),Force vérin 2 (N),Force vérin 3 (N),Courant vérin 1 (A),Courant vérin 2 (A),Courant vérin 3 (A),Tension vérin 1 (V),Tension vérin 2 (V),Tension vérin 3 (V),Puissance vérin 1 (W),Puissance vérin 2 (W),Puissance vérin 3 (W),Energie vérin 1 (J),Energie vérin 2 (J),Energie vérin 3 (J),Puissance mécanique vérin 1 (W),Puissance mécanique vérin 2 (W),Puissance mécanique vérin 3 (W),Angle moteur vérin 1 (rad),Angle moteur vérin 2 (rad),Angle moteur vérin 3 (rad),Vitesse moteur vérin 1 (rad/s),Vitesse moteur vérin 2 (rad/s),Vitesse moteur vérin 3 (rad/s),Butée flèche,Butée balancier,Butée godet,Butée sol
10.217,30.428,-63.421,72.000,30.657,-64.015,70.325,77.346,-4.420,5.490,-0.024,-0.018,700.0,100.0,35.0,697.9,100.2,-21.4,1.370,-1.189,-2.513,5.023,-2.835,-2.512,70.6,3.0,0.1,-291.0,-119.2,-10.6,0.344,-0.614,-0.009,5.59,-5.41,-7.39,2.05,3.43,1.06,69.42,33.31,8.14,1.54,0.35,0.03,3174.215,136.062,2.283,225.957,-127.526,-113.019,0,0,0,0
10.249,30.428,-63.421,72.000,30.626,-63.961,70.323,77.346,-4.202,5.295,-0.023,-0.018,700.0,100.0,35.0,698.1,100.1,-21.4,1.189,-1.080,-2.516,4.766,-2.727,-2.512,70.6,3.0,0.1,-290.9,-119.2,-10.6,0.340,-0.612,-0.009,5.35,-5.27,-7.39,1.92,3.32,0.07,69.46,33.38,8.14,1.46,0.34,0.03,3175.771,134.795,2.334,214.408,-122.694,-113.024,0,0,0,0
10.255,30.428,-63.421,72.000,30.599,-63.911,70.324,77.346,-3.977,5.088,0.012,0.010,700.0,100.0,35.0,698.3,100.0,-21.4,1.027,-0.980,-2.514,4.500,-2.613,-2.491,70.6,3.0,0.1,-288.8,-117.3,-10.0,0.337,-0.610,0.004,5.14,-5.15,-7.38,1.82,3.23,0.07,69.50,33.44,8.14,1.39,0.32,0.03,3177.161,133.636,2.307,202.436,-117.571,-112.082,0,0,0,0
10.280,30.428,-63.421,72.000,30.575,-63.865,70.323,77.346,-3.745,4.870,0.012,0.010,700.0,100.0,35.0,698.4,99.9,-21.4,0.882,-0.888,-2.515,4.225,-2.494,-2.492,70.7,2.9,0.1,-291.0,-119.3,-10.6,0.333,-0.608,0.004,4.95,-5.03,-7.40,1.73,3.14,0.03,69.53,33.51,8.14,1.30,0.31,0.02,3178.408,132.575,2.325,190.089,-112.184,-112.109,0,0,0,0
10.295,30.428,-63.421,72.000,30.554,-63.823,70.321,77.346,-3.506,4.642,0.012,0.010,700.0,100.0,35.0,698.6,99.8,-21.3,0.752,-0.804,-2.518,3.943,-2.369,-2.492,70.7,2.9,0.1,-296.7,-124.6,-12.3,0.330,-0.607,-0.130,4.78,-4.93,-7.37,1.65,3.06,0.03,69.57,33.57,8.14,1.23,0.30,0.03,3179.516,131.600,2.374,177.394,-106.555,-112.100,0,0,0,0
10.326,30.428,-63.421,72.000,30.535,-63.783,70.324,77.346,-3.260,4.405,0.012,0.010,700.0,100.0,35.0,698.8,99.7,-21.3,0.639,-0.725,-2.515,3.654,-2.239,-2.495,70.7,2.9,0.1,-291.2,-119.6,-10.6,0.327,-0.605,-0.130,4.64,-4.84,-7.40,1.58,2.99,0.96,69.60,33.63,8.16,1.17,0.30,0.03,3180.488,130.696,2.316,164.380,-100.711,-112.230,0,0,0,0
10.342,30.428,-63.421,72.000,30.518,-63.747,70.322,77.346,-3.009,4.162,0.012,0.010,700.0,100.0,35.0,698.9,99.7,-21.3,0.540,-0.652,-2.518,3.358,-2.104,-2.494,70.7,2.9,0.1,-291.1,-119.6,-10.6,0.324,-0.604,-0.130,4.51,-4.75,-7.38,1.52,2.93,0.96,69.63,33.69,8.18,1.06,0.27,0.03,3181.338,129.851,2.365,151.087,-94.668,-112.221,0,0,0,0
10.358,30.428,-63.421,72.000,30.504,-63.713,70.324,77.346,-2.751,3.910,0.013,0.010,700.0,100.0,35.0,699.0,99.7,-21.3,0.454,-0.584,-2.514,3.057,-1.966,-2.507,70.7,2.9,0.1,-291.3,-119.7,-10.6,0.321,-0.603,-0.130,4.39,-4.66,-7.41,1.46,2.87,0.96,69.66,33.74,8.20,0.98,0.25,0.03,3182.076,129.062,2.306,137.543,-88.435,-112.776,0,0,0,0
10.390,30.428,-63.421,72.000,30.492,-63.681,70.322,77.346,-2.488,3.652,0.013,0.010,700.0,100.0,35.0,699.1,99.6,-21.3,0.381,-0.520,-2.517,2.751,-1.823,-2.507,70.7,2.9,0.1,-291.2,-119.7,-10.6,0.318,-0.602,-0.130,4.30,-4.58,-7.38,1.41,2.81,0.96,69.69,33.80,8.22,0.89,0.24,0.03,3182.702,128.326,2.356,123.772,-82.021,-112.768,0,0,0,0
10.395,30.428,-63.421,72.000,30.481,-63.651,70.324,77.346,-2.228,3.392,0.002,0.002,700.0,100.0,35.0,699.2,99.7,-21.2,0.319,-0.461,-2.514,2.448,-1.680,-2.527,70.8,2.8,0.1,-291.0,-119.7,-10.6,0.320,-0.602,-0.134,4.22,-4.51,-7.41,1.37,2.76,0.96,69.71,33.86,8.24,0.80,0.22,0.03,3183.228,127.640,2.297,110.146,-75.567,-113.705,0,0,0,0
10.422,30.428,-63.421,72.000,30.473,-63.624,70.322,77.346,-1.980,3.136,0.002,0.002,700.0,100.0,35.0,699.3,99.7,-21.2,0.268,-0.406,-2.517,2.161,-1.539,-2.527,70.8,2.8,0.1,-290.7,-119.4,-10.5,0.325,-0.602,-0.134,4.15,-4.43,-7.39,1.35,2.71,0.99,69.74,33.91,8.26,0.71,0.20,0.03,3183.672,127.008,2.347,97.209,-69.254,-113.698,0,0,0,0
10.437,30.428,-63.421,72.000,30.466,-63.600,70.324,77.346,-1.752,2.887,-0.067,-0.052,700.0,100.0,35.0,699.4,99.7,-21.2,0.224,-0.358,-2.514,1.894,-1.405,-2.540,70.8,2.8,0.1,-290.6,-119.4,-10.5,0.330,-0.603,-0.159,4.10,-4.37,-7.40,1.35,2.67,0.99,69.77,33.96,8.28,0.63,0.18,0.03,3184.047,126.451,2.288,85.225,-63.186,-114.275,0,0,0,0
10.468,30.428,-63.421,72.000,30.459,-63.579,70.322,77.346,-1.544,2.648,-0.067,-0.052,700.0,100.0,35.0,699.5,99.7,-21.2,0.187,-0.316,-2.517,1.652,-1.277,-2.540,70.8,2.8,0.1,-290.5,-119.5,-10.5,0.336,-0.604,-0.159,4.05,-4.32,-7.39,1.35,2.64,1.18,69.79,34.02,8.30,0.55,0.17,0.03,3184.366,125.965,2.338,74.321,-57.437,-114.274,0,0,0,0
10.475,30.428,-63.421,72.000,30.454,-63.560,70.324,77.346,-1.355,2.422,-0.045,-0.035,700.0,100.0,35.0,699.5,99.7,-21.2,0.155,-0.279,-2.514,1.434,-1.157,-2.518,70.8,2.8,0.1,-288.8,-117.9,-10.0,0.341,-0.606,-0.151,4.02,-4.27,-7.38,1.36,2.61,1.18,69.82,34.07,8.33,0.48,0.15,0.03,3184.639,125.542,2.294,64.514,-52.048,-113.299,0,0,0,0
10.500,30.428,-63.421,72.000,30.449,-63.544,70.323,77.346,-1.185,2.213,-0.045,-0.035,700.0,100.0,35.0,699.6,99.7,-21.2,0.128,-0.247,-2.516,1.239,-1.046,-2.519,70.8,2.8,0.1,-290.6,-119.6,-10.5,0.347,-0.608,-0.151,3.99,-4.23,-7.40,1.37,2.59,1.11,69.85,34.12,8.35,0.41,0.14,0.03,3184.874,125.170,2.329,55.740,-47.062,-113.317,0,0,0,0
10.516,30.428,-63.421,72.000,30.446,-63.530,70.321,77.345,-1.033,2.020,0.024,0.019,700.0,100.0,35.0,699.6,99.7,-21.2,0.104,-0.218,-2.518,1.066,-0.945,-2.493,70.8,2.8,0.1,-288.0,-117.2,-9.8,0.352,-0.610,-0.126,3.96,-4.20,-7.37,1.38,2.57,1.12,69.88,34.17,8.37,0.36,0.13,0.03,3185.073,124.843,2.360,47.955,-42.493,-112.173,0,0,0,0
10.548,30.428,-63.421,72.000,30.442,-63.517,70.323,77.345,-0.898,1.844,0.024,0.019,700.0,100.0,35.0,699.7,99.8,-21.1,0.085,-0.193,-2.516,0.914,-0.852,-2.495,70.8,2.8,0.1,-290.5,-119.7,-10.5,0.356,-0.612,-0.126,3.94,-4.17,-7.40,1.39,2.56,0.93,69.90,34.22,8.39,0.31,0.11,0.02,3185.241,124.553,2.319,41.122,-38.321,-112.236,0,0,0,0
10.564,30.428,-63.421,72.000,30.440,-63.506,70.321,77.345,-0.780,1.683,0.024,0.019,700.0,100.0,35.0,699.7,99.8,-21.1,0.068,-0.171,-2.519,0.782,-0.767,-2.495,70.8,2.8,0.1,-290.5,-119.7,-10.5,0.362,-0.614,-0.125,3.92,-4.15,-7.38,1.40,2.55,0.93,69.93,34.27,8.41,0.27,0.10,0.03,3185.383,124.293,2.369,35.169,-34.516,-112.229,0,0,0,0
10.579,30.428,-63.421,72.000,30.437,-63.496,70.323,77.345,-0.680,1.535,0.024,0.019,700.0,100.0,35.0,699.7,99.8,-21.1,0.054,-0.150,-2.515,0.668,-0.690,-2.501,70.8,2.8,0.1,-290.5,-119.7,-10.5,0.367,-0.616,-0.125,3.91,-4.13,-7.40,1.42,2.55,0.93,69.96,34.32,8.43,0.23,0.09,0.03,3185.504,124.061,2.310,30.058,-31.054,-112.497,0,0,0,0
10.610,30.428,-63.421,72.000,30.435,-63.487,70.321,77.345,-0.594,1.401,0.024,0.019,700.0,100.0,35.0,699.8,99.8,-21.1,0.042,-0.132,-2.518,0.571,-0.620,-2.500,70.8,2.8,0.1,-290.5,-119.8,-10.5,0.370,-0.617,-0.125,3.90,-4.11,-7.38,1.43,2.54,0.93,69.99,34.38,8.45,0.19,0.08,0.03,3185.607,123.852,2.359,25.670,-27.905,-112.491,0,0,0,0
10.626,30.428,-63.421,72.000,30.434,-63.479,70.324,77.345,-0.519,1.278,0.024,0.019,700.0,100.0,35.0,699.8,99.8,-21.1,0.032,-0.116,-2.514,0.486,-0.557,-2.525,70.8,2.7,0.1,-290.5,-119.8,-10.5,0.372,-0.618,-0.125,3.89,-4.10,-7.41,1.44,2.54,0.93,70.02,34.43,8.46,0.17,0.07,0.03,3185.696,123.663,2.300,21.854,-25.040,-113.576,0,0,0,0
10.642,30.428,-63.421,72.000,30.432,-63.471,70.322,77.345,-0.451,1.165,0.024,0.019,700.0,100.0,35.0,699.8,99.8,-21.1,0.023,-0.101,-2.517,0.411,-0.499,-2.524,70.8,2.7,0.1,-290.5,-119.8,-10.5,0.374,-0.620,-0.125,3.88,-4.08,-7.39,1.45,2.53,0.93,70.05,34.48,8.48,0.14,0.07,0.03,3185.773,123.493,2.350,18.512,-22.431,-113.571,0,0,0,0
10.658,30.428,-63.421,72.000,30.431,-63.465,70.324,77.345,-0.390,1.061,-0.012,-0.009,700.0,100.0,35.0,699.8,99.8,-21.1,0.015,-0.088,-2.514,0.346,-0.446,-2.537,70.8,2.7,0.1,-290.5,-119.8,-10.5,0.376,-0.621,-0.139,3.87,-4.07,-7.40,1.45,2.53,0.93,70.08,34.53,8.50,0.12,0.06,0.03,3185.840,123.339,2.290,15.582,-20.055,-114.121,0,0,0,0
10.689,30.428,-63.421,72.000,30.430,-63.459,70.322,77.345,-0.336,0.966,-0.012,-0.009,700.0,100.0,35.0,699.9,99.9,-21.1,0.008,-0.076,-2.517,0.289,-0.398,-2.537,70.8,2.7,0.1,-290.5,-119.8,-10.5,0.378,-0.622,-0.139,3.87,-4.06,-7.39,1.46,2.52,1.03,70.11,34.58,8.52,0.10,0.05,0.03,3185.897,123.200,2.341,13.018,-17.890,-114.118,0,0,0,0
10.695,30.428,-63.421,72.000,30.429,-63.453,70.324,77.345,-0.288,0.878,-0.001,-0.001,700.0,100.0,35.0,699.9,99.9,-21.1,0.002,-0.065,-2.514,0.240,-0.354,-2.513,70.8,2.7,0.1,-288.9,-118.4,-10.1,0.380,-0.622,-0.001,3.86,-4.05,-7.39,1.46,2.52,1.02,70.13,34.63,8.54,0.08,0.05,0.03,3185.948,123.075,2.286,10.797,-15.915,-113.064,0,0,0,0
10.721,30.428,-63.421,72.000,30.428,-63.448,70.322,77.345,-0.246,0.795,-0.001,-0.001,700.0,100.0,35.0,699.9,99.9,-21.1,-0.003,-0.055,-2.516,0.198,-0.314,-2.513,70.8,2.7,0.1,-290.5,-119.8,-10.5,0.382,-0.623,-0.001,3.86,-4.04,-7.40,1.47,2.52,0.00,70.16,34.68,8.54,0.07,0.04,0.03,3185.991,122.962,2.331,8.891,-14.105,-113.070,0,0,0,0
10.737,30.428,-63.421,72.000,30.427,-63.444,70.323,77.345,-0.209,0.717,0.050,0.039,700.0,100.0,35.0,699.9,99.9,-21.1,-0.007,-0.046,-2.516,0.161,-0.277,-2.492,70.8,2.7,0.1,-288.2,-117.7,-9.9,0.383,-0.624,0.018,3.85,-4.03,-7.38,1.47,2.51,0.00,70.19,34.73,8.54,0.06,0.04,0.03,3186.029,122.860,2.329,7.261,-12.447,-112.089,0,0,0,0
10.769,30.428,-63.421,72.000,30.426,-63.440,70.323,77.345,-0.178,0.644,0.050,0.039,700.0,100.0,35.0,699.9,99.9,-21.1,-0.011,-0.038,-2.516,0.131,-0.243,-2.492,70.8,2.7,0.1,-290.5,-119.9,-10.5,0.384,-0.624,0.018,3.85,-4.02,-7.40,1.47,2.51,0.13,70.22,34.78,8.54,0.05,0.03,0.02,3186.061,122.768,2.322,5.880,-10.934,-112.117,0,0,0,0
10.774,30.428,-63.421,72.000,30.426,-63.436,70.321,77.345,-0.151,0.576,0.050,0.039,700.0,100.0,35.0,699.9,99.9,-21.1,-0.014,-0.031,-2.519,0.105,-0.212,-2.492,70.8,2.7,0.1,-290.5,-119.9,-10.5,0.386,-0.625,0.018,3.85,-4.01,-7.38,1.48,2.51,0.14,70.25,34.83,8.55,0.04,0.03,0.03,3186.089,122.685,2.371,4.726,-9.559,-112.111,0,0,0,0
10.800,30.428,-63.421,72.000,30.425,-63.433,70.323,77.345,-0.129,0.512,0.050,0.039,700.0,100.0,35.0,699.9,99.9,-21.1,-0.017,-0.024,-2.515,0.084,-0.185,-2.495,70.8,2.7,0.1,-290.5,-119.9,-10.5,0.387,-0.625,0.018,3.84,-4.00,-7.40,1.48,2.51,0.13,70.28,34.88,8.55,0.03,0.03,0.03,3186.113,122.611,2.312,3.765,-8.315,-112.238,0,0,0,0
10.816,30.428,-63.421,72.000,30.425,-63.430,70.321,77.345,-0.110,0.455,0.050,0.039,700.0,100.0,35.0,700.0,99.9,-21.1,-0.020,-0.019,-2.518,0.066,-0.160,-2.495,70.8,2.7,0.1,-290.5,-119.9,-10.5,0.388,-0.626,0.018,3.84,-4.00,-7.38,1.49,2.50,0.14,70.31,34.93,8.55,0.02,0.02,0.03,3186.134,122.544,2.362,2.962,-7.205,-112.232,0,0,0,0
10.847,30.428,-63.421,72.000,30.425,-63.427,70.324,77.345,-0.094,0.405,0.050,0.039,700.0,100.0,35.0,700.0,99.9,-21.1,-0.022,-0.014,-2.515,0.051,-0.139,-2.506,70.8,2.7,0.1,-290.5,-119.9,-10.5,0.389,-0.627,0.018,3.84,-3.99,-7.41,1.49,2.50,0.14,70.34,34.98,8.56,0.02,0.02,0.03,3186.152,122.484,2.303,2.290,-6.239,-112.750,0,0,0,0
10.854,30.428,-63.421,72.000,30.424,-63.425,70.322,77.345,-0.081,0.361,0.050,0.039,700.0,100.0,35.0,700.0,99.9,-21.1,-0.023,-0.009,-2.518,0.038,-0.120,-2.506,70.8,2.7,0.1,-290.5,-119.9,-10.5,0.389,-0.628,0.018,3.84,-3.99,-7.39,1.49,2.50,0.14,70.37,35.03,8.56,0.01,0.02,0.03,3186.168,122.432,2.353,1.724,-5.401,-112.744,0,0,0,0
10.879,30.428,-63.421,72.000,30.424,-63.423,70.324,77.345,-0.069,0.323,0.028,0.022,700.0,100.0,35.0,700.0,99.9,-21.1,-0.025,-0.005,-2.514,0.028,-0.104,-2.522,70.8,2.7,0.1,-290.5,-119.9,-10.5,0.390,-0.628,0.010,3.84,-3.99,-7.41,1.49,2.50,0.14,70.40,35.08,8.56,0.01,0.01,0.03,3186.181,122.386,2.293,1.245,-4.672,-113.453,0,0,0,0
10.910,30.428,-63.421,72.000,30.424,-63.421,70.322,77.345,-0.059,0.289,0.028,0.022,700.0,100.0,35.0,700.0,100.0,-21.1,-0.026,-0.002,-2.517,0.019,-0.090,-2.522,70.8,2.7,0.1,-290.5,-119.9,-10.5,0.390,-0.629,0.010,3.83,-3.98,-7.39,1.49,2.50,0.08,70.43,35.13,8.56,0.01,0.01,0.03,3186.193,122.346,2.343,0.838,-4.034,-113.449,0,0,0,0
10.926,30.428,-63.421,72.000,30.424,-63.420,70.324,77.345,-0.051,0.260,-0.042,-0.032,700.0,100.0,35.0,700.0,100.0,-21.1,-0.027,0.002,-2.513,0.016,-0.077,-2.529,70.8,2.7,0.1,-290.5,-119.9,-10.5,0.391,-0.629,-0.015,3.83,-3.98,-7.40,1.50,2.50,0.08,70.46,35.18,8.56,0.01,0.01,0.03,3186.203,122.311,2.284,0.729,-3.471,-113.779,0,0,0,0
10.941,30.428,-63.421,72.000,30.424,-63.419,70.322,77.345,-0.043,0.233,-0.042,-0.032,700.0,100.0,35.0,700.0,100.0,-21.1,-0.028,0.004,-2.516,0.026,-0.066,-2.529,70.8,2.7,0.1,-290.5,-119.9,-10.5,0.388,-0.630,-0.015,3.76,-3.98,-7.39,1.50,2.50,0.11,70.49,35.23,8.57,0.00,0.01,0.03,3186.205,122.279,2.334,1.171,-2.972,-113.779,0,0,0,0
10.957,30.428,-63.421,72.000,30.424,-63.417,70.323,77.345,-0.037,0.210,-0.006,-0.004,700.0,100.0,35.0,700.0,100.0,-21.1,-0.027,0.007,-2.515,0.036,-0.056,-2.508,70.8,2.7,0.1,-288.4,-118.0,-9.9,0.381,-0.630,-0.002,3.68,-3.98,-7.38,1.46,2.50,0.11,70.52,35.28,8.57,0.01,0.01,0.03,3186.204,122.251,2.307,1.606,-2.526,-112.838,0,0,0,0
10.989,30.428,-63.421,72.000,30.424,-63.416,70.323,77.345,-0.031,0.188,-0.006,-0.004,700.0,100.0,35.0,700.0,100.0,-21.1,-0.027,0.009,-2.516,0.045,-0.047,-2.509,70.8,2.7,0.1,-290.5,-119.9,-10.5,0.370,-0.630,-0.002,3.58,-3.97,-7.40,1.40,2.50,0.02,70.55,35.33,8.57,0.01,0.01,0.02,3186.202,122.226,2.324,2.025,-2.128,-112.855,0,0,0,0
10.995,30.428,-63.421,72.000,30.424,-63.415,70.321,77.345,-0.026,0.169,-0.006,-0.004,700.0,100.0,35.0,700.0,100.0,-21.1,-0.027,0.011,-2.519,0.054,-0.039,-2.508,70.8,2.7,0.1,-296.1,-125.1,-12.2,0.354,-0.631,-0.136,3.49,-3.97,-7.37,1.33,2.50,0.02,70.57,35.38,8.57,0.01,0.01,0.03,3186.201,122.204,2.374,2.421,-1.771,-112.848,0,0,0,0
11.020,30.428,-63.421,72.000,30.424,-63.414,70.323,77.345,-0.022,0.152,-0.006,-0.004,700.0,100.0,35.0,700.0,100.0,-21.1,-0.027,0.013,-2.515,0.061,-0.032,-2.510,70.8,2.7,0.1,-290.5,-120.0,-10.5,0.338,-0.631,-0.136,3.41,-3.97,-7.40,1.24,2.50,1.01,70.60,35.43,8.59,0.02,0.00,0.03,3186.200,122.184,2.315,2.756,-1.450,-112.935,0,0,0,0
11.035,30.428,-63.421,72.000,30.424,-63.414,70.321,77.345,-0.019,0.136,-0.006,-0.004,700.0,100.0,35.0,700.0,100.0,-21.1,-0.027,0.014,-2.518,0.068,-0.026,-2.510,70.8,2.7,0.1,-290.5,-120.0,-10.5,0.319,-0.631,-0.136,0.00,-3.97,-7.38,1.15,2.50,1.01,70.62,35.48,8.61,0.02,0.00,0.03,3186.199,122.166,2.364,3.064,-1.161,-112.928,0,0,0,0
11.065,30.428,-63.421,72.000,30.424,-63.413,70.324,77.345,-0.016,0.122,-0.006,-0.004,700.0,100.0,35.0,700.0,100.0,-21.1,-0.027,0.016,-2.515,0.074,-0.020,-2.518,70.8,2.7,0.1,-290.5,-120.0,-10.5,0.299,-0.631,-0.136,0.00,-3.97,-7.41,0.00,2.50,1.01,70.62,35.53,8.63,0.02,0.00,0.03,3186.197,122.150,2.305,3.314,-0.901,-113.293,0,0,0,0
11.080,30.428,-63.421,72.000,30.424,-63.412,70.321,77.345,-0.013,0.109,-0.005,-0.004,700.0,100.0,35.0,700.0,100.0,-21.1,-0.027,0.017,-2.518,0.078,-0.015,-2.518,70.8,2.7,0.1,-290.5,-120.0,-10.5,0.280,-0.631,-0.136,0.00,-3.97,-7.38,0.00,2.50,1.01,70.62,35.58,8.65,0.02,0.00,0.03,3186.196,122.135,2.355,3.513,-0.668,-113.286,0,0,0,0
11.096,30.428,-63.421,72.000,30.424,-63.412,70.324,77.345,-0.011,0.097,-0.016,-0.012,700.0,100.0,35.0,700.0,100.0,-21.1,-0.026,0.018,-2.514,0.082,-0.010,-2.538,70.8,2.7,0.1,-290.5,-120.0,-10.5,0.260,-0.631,-0.140,0.00,-3.97,-7.41,0.00,2.50,1.01,70.62,35.63,8.67,0.02,0.00,0.03,3186.195,122.123,2.296,3.669,-0.460,-114.162,0,0,0,0
11.127,30.428,-63.421,72.000,30.424,-63.411,70.322,77.345,-0.009,0.087,-0.016,-0.012,700.0,100.0,35.0,700.0,100.0,-21.1,-0.026,0.019,-2.517,0.084,-0.006,-2.538,70.8,2.7,0.1,-290.5,-120.0,-10.5,0.241,-0.632,-0.140,0.00,-3.96,-7.39,0.00,2.50,1.04,70.62,35.68,8.69,0.02,0.00,0.03,3186.194,122.111,2.346,3.793,-0.272,-114.157,0,0,0,0
11.142,30.428,-63.421,72.000,30.424,-63.411,70.324,77.345,-0.007,0.078,-0.067,-0.052,700.0,100.0,35.0,700.0,100.0,-21.1,-0.026,0.020,-2.513,0.086,-0.002,-2.547,70.8,2.7,0.1,-290.5,-120.0,-10.5,0.221,-0.632,-0.159,0.00,-3.96,-7.40,0.00,2.50,1.03,70.62,35.73,8.71,0.02,0.00,0.03,3186.193,122.101,2.286,3.889,-0.105,-114.573,0,0,0,0
11.157,30.428,-63.421,72.000,30.424,-63.410,70.322,77.345,-0.006,0.069,-0.067,-0.052,700.0,100.0,35.0,700.0,100.0,-21.1,-0.026,0.021,-2.517,0.088,-0.015,-2.547,70.8,2.7,0.1,-290.2,-119.7,-10.5,0.202,-0.631,-0.159,0.00,-3.95,-7.39,0.00,2.50,1.18,70.62,35.78,8.73,0.03,0.00,0.03,3186.192,122.092,2.336,3.965,-0.664,-114.571,0,0,0,0
11.188,30.428,-63.421,72.000,30.424,-63.410,70.324,77.345,-0.004,0.060,-0.045,-0.035,700.0,100.0,35.0,700.0,100.0,-21.1,-0.026,0.021,-2.514,0.089,-0.028,-2.525,70.8,2.7,0.1,-288.7,-118.3,-10.0,0.182,-0.626,-0.151,0.00,-3.87,-7.39,0.00,2.49,1.17,70.62,35.83,8.76,0.03,0.00,0.03,3186.191,122.092,2.293,4.025,-1.254,-113.596,0,0,0,0
11.194,30.428,-63.421,72.000,30.424,-63.410,70.323,77.345,-0.003,0.052,-0.045,-0.035,700.0,100.0,35.0,700.0,100.0,-21.1,-0.026,0.021,-2.516,0.091,-0.040,-2.525,70.8,2.7,0.1,-290.5,-120.0,-10.5,0.163,-0.617,-0.151,0.00,-3.78,-7.40,0.00,2.42,1.11,70.62,35.88,8.78,0.03,0.00,0.03,3186.190,122.092,2.327,4.074,-1.813,-113.606,0,0,0,0
11.218,30.428,-63.421,72.000,30.424,-63.410,70.321,77.345,-0.002,0.046,-0.008,-0.006,700.0,100.0,35.0,700.0,100.0,-21.1,-0.026,0.021,-2.519,0.091,-0.052,-2.514,70.8,2.7,0.1,-295.4,-124.5,-12.0,0.143,-0.602,-0.271,0.00,-3.69,-7.37,0.00,2.33,1.12,70.62,35.93,8.80,0.03,0.00,0.03,3186.189,122.092,2.376,4.113,-2.338,-113.114,0,0,0,0
11.249,30.428,-63.421,72.000,30.424,-63.410,70.323,77.345,-0.001,0.039,-0.008,-0.006,700.0,100.0,35.0,700.0,100.0,-21.1,-0.025,0.021,-2.515,0.092,-0.063,-2.516,70.8,2.7,0.1,-290.5,-120.0,-10.5,0.124,-0.582,-0.271,0.00,-3.60,-7.40,0.00,2.22,2.00,70.62,35.97,8.84,0.03,0.01,0.03,3186.188,122.092,2.318,4.145,-2.830,-113.174,0,0,0,0
11.257,30.428,-63.421,72.000,30.424,-63.410,70.321,77.345,-0.000,0.034,-0.008,-0.006,700.0,100.0,35.0,700.0,100.0,-21.1,-0.025,0.020,-2.519,0.093,-0.073,-2.516,70.8,2.7,0.1,-290.5,-120.0,-10.5,0.104,-0.557,-0.271,0.00,-3.51,-7.38,0.00,2.09,2.01,70.62,36.01,8.88,0.03,0.01,0.03,3186.187,122.093,2.367,4.173,-3.293,-113.167,0,0,0,0
11.280,30.428,-63.421,72.000,30.424,-63.410,70.323,77.345,0.000,0.030,-0.008,-0.006,700.0,100.0,35.0,700.0,100.0,-21.1,-0.025,0.020,-2.515,0.093,-0.082,-2.521,70.8,2.7,0.1,-290.5,-120.0,-10.5,0.084,-0.530,-0.271,0.00,-3.43,-7.40,0.00,1.95,2.00,70.62,36.05,8.92,0.03,0.01,0.03,3186.186,122.093,2.308,4.197,-3.694,-113.423,0,0,0,0
11.296,30.428,-63.421,72.000,30.424,-63.410,70.321,77.345,0.001,0.025,-0.008,-0.006,700.0,100.0,35.0,700.0,100.0,-21.1,-0.025,0.020,-2.518,0.094,-0.090,-2.521,70.8,2.7,0.1,-290.5,-120.0,-10.5,0.065,-0.499,-0.271,0.00,0.00,-7.38,0.00,1.82,2.01,70.62,36.09,8.96,0.03,0.01,0.03,3186.185,122.093,2.358,4.219,-4.065,-113.417,0,0,0,0
11.328,30.428,-63.421,72.000,30.424,-63.410,70.324,77.345,0.001,0.022,-0.008,-0.006,700.0,100.0,35.0,700.0,100.0,-21.1,-0.025,0.020,-2.514,0.089,-0.097,-2.536,70.8,2.7,0.1,-290.5,-120.0,-10.5,0.045,-0.467,-0.271,0.00,0.00,-7.41,0.00,0.00,2.00,70.62,36.09,9.00,0.03,0.01,0.03,3186.184,122.093,2.299,4.007,-4.384,-114.107,0,0,0,0
11.343,30.428,-63.421,72.000,30.424,-63.410,70.322,77.345,0.001,0.019,-0.008,-0.006,700.0,100.0,35.0,700.0,100.0,-21.1,-0.025,0.020,-2.517,0.073,-0.103,-2.536,70.8,2.7,0.1,-290.5,-120.0,-10.5,0.029,-0.436,-0.271,0.00,0.00,-7.39,0.00,0.00,2.01,70.62,36.09,9.04,0.03,0.01,0.03,3186.183,122.093,2.349,3.296,-4.641,-114.101,0,0,0,0
